rank,GEP1,GEP2,GEP3,GEP4,GEP5,GEP6,GEP7,GEP8,GEP9,GEP10,GEP11,GEP12
1,RNASE6,LRRN3,LDLRAP1,PPP1R15A,LTK,FCGR3A,NRROS,LAPTM4B,GNG4,PFKFB2,SKA3,PRRG3
2,CCR9,SMURF2,AK5,GPR183,NCR3,PRSS23,RTP5,DUSP4,PTPN14,JCHAIN,TYMS,AL138963.3
3,RFLNB,CD101,NOSIP,LMNA,SLC4A10,FCRL6,LINC01307,FOXP3,UCA1,UGT3A2,PCLAF,LRRC75A
4,RNASET2,DAPK2,DSC1,AL136454.1,PRR5,CX3CR1,RAB32,IKZF4,HBS1L,PTCRA,NCAPH,SH3D19
5,ITM2A,CDH1,NELL2,FOSB,SCART1,LILRB1,TMEM163,TNIP3,KCNJ2,ATP6AP1L,RAD51AP1,AC010422.3
6,ELFN1,PCNT,USP53,NBEAL1,CXXC5,GZMB,PPM1H,ZC3H12C,AC008074.2,MFAP4,MYBL2,AC010761.1
7,TRAT1,AP1M1,VIPR1,ATP5MGL,RORC,FGFBP2,RTKN2,MIR3142HG,CREB3L3,BAHCC1,CDCA5,ATG10
8,SATB1,STK17A,CITED4,WDR74,FLT4,TTC38,CPNE7,TNFRSF1B,CACNA1C.AS2,CPA4,MKI67,FGF23
9,SIT1,FBLN2,LINC00402,ZNF90,PLXND1,ADGRG1,UBASH3B,BIRC3,CTTN,MYO7B,DSCC1,FAM126A
10,LZTFL1,ROBO1,SH3YL1,AC007952.4,SPCS3,FGR,RCBTB2,KIF26B,FZD3,MAP1A,CDC25A,PABPC3
11,CD40LG,PLXDC1,COL18A1,ARHGAP15,BLK,CMKLR1,FGD4,RBMS3,KCNG3,NEGR1,E2F2,AC015802.6
12,ADGRE1,MAN1C1,ABO,YPEL5,ITCH,NCR1,AC004585.1,NDNF,GCSAML,CEP70,KIF15,VPS53
13,TOX2,CPA5,LINC00861,FOS,CCR1,ZEB2,MME,M6PR,C11orf96,TLR7,ASF1B,PPT1
14,LRRN2,AC005332.6,NRCAM,FXYD1,ADAM12,CXCR2,CCDC50,CTLA4,SLC7A5,PIGZ,CLSPN,MAP3K12
15,ZBTB7B,CLEC2D,TCEA3,NACA2,KLRB1,GZMH,PRKAR2B,SMS,MINDY2,RGPD3,FAM111B,AC245140.2
16,SAT2,PECAM1,VSIG1,BTG2,CTSA,HLA.DRB5,PON2,LMCD1,NFATC1,GUCY1A1,PKMYT1,PTGER4
17,SYNJ2,ASIC1,SELL,SLC2A3,TMEM171,C1orf21,RGS18,SUOX,SHISA2,NOTCH3,CDT1,ZBTB20
18,STXBP2,COA1,TRABD2A,SAT1,GZMK,KIR3DL2,TRG.AS1,DNPH1,AL021154.1,ELFN2,CENPU,CYTIP
19,DLG4,FAM32A,APBA2,HNRNPA1P48,NR1D1,KLRD1,TRIM16,ZNF662,CENPV,NDST3,TK1,SENP5
20,CDH24,SPON1,DSEL,CD69,IL18R1,PTPN12,GAS6,LINC01480,YEATS2.AS1,PHLDB1,RRM2,CNTD1
21,ARHGAP31,ADAMTS10,AC090948.1,JUN,ARHGAP10,ITGAM,LMO2,ICA1,NR4A3,GAB2,SPC24,GPM6A
22,CAMK1D,ACTN1,IL6R,IER2,ME1,HLA.DPB1,GCSAM,IRF4,LYPD3,SLC8A1.AS1,DIAPH3,PAXBP1
23,MMRN1,CD248,CFAP97D2,KLF6,ERN1,JAZF1,HIPK2,NRIP1,FILIP1L,TNFAIP2,MCM10,AP003352.1
24,RGS12,CCR7,LDHB,EIF5AL1,LGALS3,HLA.DRB1,TMEM200A,LTA,MAPRE2,MZB1,GINS1,AC008040.5
25,EPHB6,SLC12A7,PRKCA,TNF,TNFSF14,PDGFD,TATDN3,EBI3,DPY19L3,PXYLP1,FOXM1,AP001267.1
26,OSBPL8,PAK1,SFRP5,ITGB1,CEBPD,TBX21,LAT2,LAYN,HOMER1,SERINC2,NCAPG,AC021224.1
27,HPGD,CD9,SLC7A8,TUBA1A,CFH,FUT11,HIP1,PTGIR,NR4A1,CCDC26,PBK,LPAR4
28,PLCH1,DIP2A,TAB2,SRSF7,FHL3,SPON2,CYP4F2,FAM69C,NCR3LG1,TSHR,TRIP13,WDR66
29,TRIM24,STAG3,RASGRP2,PPDPF,COL5A3,CEP78,BICC1,PTPN3,ATP9A,UMODL1,ZWINT,LENG9
30,LRRC4,CRTAM,EIF2S3,S100A11,COLQ,PATL2,TSPAN7,SQLE,CD82,ARPP21,SHCBP1,B3GAT2
31,FBLN5,CD8B2,NAP1L1,DBET,CCR6,LYN,TRDC,CACNB2,FRY,RAPGEF5,PLK4,NBPF15
32,BACH2,DBH.AS1,COX4I1,ATP2B1.AS1,CYP2E1,KLRF1,RAB37,PRICKLE1,SMIM10,LRRC28,CCNA2,KLF15
33,TFPI,CDK5R1,KLF9,PI16,PHACTR2,PTGDR,HS3ST3B1,WNT10A,BCL6,GALNT2,BIRC5,C1orf56
34,LINC02295,AC005332.3,RPL4,GDPD5,ODF2L,ENPP4,MPZL1,SNX9,FGFR1,NR5A1,CHEK1,BEST1
35,CD4,IGFBP5,NOP53,HSPA1B,P2RY14,SETBP1,SLC44A1,ATP1B1,ICOSLG,GPR162,OIP5,AC068888.1
36,STAT5A,BCL11A,UBALD2,JUND,CCR2,MYOM2,P2RX5,LRRC32,ZNF704,RUFY3,UBE2T,AC020978.5
37,PTP4A3,STMN3,RNF157,RGCC,FKBP11,FAM49A,ITGB2.AS1,CCL22,MSL2,STRA6,BUB1B,AC011466.1
38,NMT2,CHI3L2,FAM153A,SAMSN1,IL17RE,PRR5L,CD84,TRIB1,RUBCNL,KCNK17,EXO1,AC084756.1
39,EFNA1,SLC7A3,SNED1,Z93241.1,SSR3,PLOD1,IGF2BP2,RAB33A,SDCBP,HOXA7,WDR34,AKTIP
40,PDGFA,DYRK2,PDE3B,USP46,AGAP1,ITGAX,CR2,ST6GALNAC3,MYB,TNFRSF21,RAD54L,CCDC170
41,DAD1,CHMP7,EIF3H,NHSL2,PRSS35,XCL2,TSPOAP1.AS1,TBC1D8,CACNA1C.AS1,CEP128,BRCA1,AL133453.1
42,SPRED2,PRL,EIF3L,TIPIN,MATK,CTBP2,JCAD,CHGB,PAK2,LUNAR1,DTL,LYSMD2
43,ST6GAL1,KCNQ1,TXNIP,CLK1,ELK3,B3GAT1,SLC6A3,ZC3H7A,MCCC2,SERTAD4,FANCI,PAN3
44,MARCKSL1,TTN,COMMD6,NPDC1,JAML,CCL3,CLDND1,RAB30,CHRNA2,SYK,CDC6,AL135790.1
45,BCL11B,ABLIM1,RPS26,FXYD5,CCR5,NMUR1,GAS7,FBLN7,PTPN7,SLC43A2,MCM4,IL24
46,MAP4K4,RGS10,THEM4,RGS1,SESN1,GNLY,BAZ2B,PKIA,CAV1,AC002454.1,CDC45,NXF1
47,KAZN,ERMP1,CACNA1I,TAGLN2,DDIT4,MTSS1,PRDM16,SDC4,AC124798.1,PEX5L,GMNN,AL121985.1
48,GSTA4,IFI44L,PABPC4,VAMP8,NEO1,KLRC2,EEPD1,FAM198A,CRIM1,ST3GAL6,CENPW,AC092069.1
49,CUBN,SIRPG,EEF2,FXYD7,CANX,PALLD,DPF3,PHKB,ADAM10,ARL11,FEN1,CACNA1A
50,ATP6V0A1,SPINK2,EPHA1.AS1,P2RY10,SCRN1,LGR6,IQCA1,CD83,SCD,NINL,TOP2A,HNRNPA1P48
51,MAD1L1,CD8B,MMP28,ADAM19,SPTSSB,MXRA7,CMIP,REL,BCAT1,JAM3,BRCA2,AL445686.2
52,RASGRP1,PLEKHF1,NOG,SOCS3,TLE1,GOLM1,MLLT11,EPSTI1,HIVEP3,AC084033.3,ATAD2,NOMO1
53,ARID1A,PGGHG,FKBP5,DUSP5,IL4I1,CCL4L2,CHRNA5,VSIG4,EGR2,AC245060.5,SGO1,AC005944.1
54,TPM2,LNPEP,RNF138,LPAR6,DPP4,HLA.DQA1,EFHC1,NFKB2,MAOB,RFX8,PCNA,AL138478.1
55,MARCKS,AUTS2,AC243960.1,TIMP1,PLD1,RAP2A,DUSP6,TFRC,AK6,LETM1,NEIL3,DEGS2
56,USP49,ZNF496,PIK3IP1,CSRNP1,IL23R,FCRL3,MTCL1,TNFRSF4,PDCD1,CNPY3,CEP55,AC145285.6
57,PIK3C2B,CEP41,REG4,CSNK2A3,RBM24,KIR2DL3,SPIB,COL9A2,AC022239.1,REPIN1,ORC1,KCNQ1OT1
58,DZIP3,KIAA1671,RPLP2,ABHD15.AS1,GLRX,HLA.DPA1,STXBP1,VDR,NUCB2,PRUNE2,E2F7,CHMP1B.AS1
59,AC013264.1,SOX12,RGMB,TNFAIP3,B3GALT2,RASSF4,IL10,GADD45G,ALDH1A2,TNFSF4,POLQ,PDE4B
60,PTGFRN,PRKAR1B,TBXA2R,RILPL2,LATS2,TIGIT,AC079610.2,TNFRSF9,PHEX,FRMD4A,KIF11,AL731577.1
61,LAT,CD7,EEF1B2,AP001496.2,KIF5C,SYT11,SMIM24,PNOC,SPTBN2,ADA,CDK1,AC008440.2
62,HNRNPA2B1,ACAP1,RPS15,LINC01641,CXCR6,HOXC4,AC136475.9,DNAH8,SOCS1,IGLL1,POLE2,TMEM243
63,ZBTB18,OLFM2,XIST,PTGER4,LST1,CCL4,GCNA,GNB4,PRDX1,NOTCH1,CHAF1A,FARP1
64,MSL3,SARDH,RPS16,GALM,TMEM91,TPST2,SPRY2,BCL2L11,CD200,AL357060.1,CCNE2,TMA7
65,VIPR2,ULK2,RASA3,LMNTD1,RUNX2,KLRC3,CNR2,LINC01281,BZW1,UGP2,XRCC2,HNRNPA1L2
66,ASAP1,CTSD,EIF3E,KMT2E.AS1,WHRN,ARPC5L,MGST2,BASP1,PARK7,BMF,ESCO2,HMGA2
67,PROSER2,DENND2D,ATXN8OS,HIPK1.AS1,GALC,ITGAL,SLC25A33,PHC1,RHOBTB2,H1F0,RRM1,AC001226.2
68,AXIN2,MGAT5,UBA52,AC026979.2,GPR65,ADGRG5,IKZF2,HVCN1,POU2AF1,TMEM131L,ORC6,AC135457.1
69,CD247,LCNL1,ADTRP,HIST1H1C,ELOVL6,FGL2,WWC1,BANK1,LIPC,HES4,NUF2,HPCAL1
70,ACTR3,HLA.DOA,NPM1,CYCS,MKNK1,PLEK,FAM160B1,IL2RA,TRMT6,TP53INP1,RFC3,SLC2A3
71,ARPC5,PMEPA1,FCER1G,LINC01116,CERK,LPCAT1,BEND4,SLC37A2,FKBP4,CMTM8,KIFC1,SF3A1
72,DR1,PRAG1,C1orf162,ATF3,GYG1,SLCO4C1,ANKRD27,SPATS2L,TIAM1,MNS1,C2orf48,AC009264.1
73,SON,TSPAN14,RACK1,ANKRD18A,CYP4F22,IFNG,SORT1,LCOR,PGM2L1,SLC29A1,AC007240.1,CREM
