,gapin_data|c0,gapin_data|c1,gapin_data|c10,gapin_data|c11,gapin_data|c12,gapin_data|c13,gapin_data|c14,gapin_data|c15,gapin_data|c16,gapin_data|c17,gapin_data|c2,gapin_data|c3,gapin_data|c4,gapin_data|c5,gapin_data|c6,gapin_data|c7,gapin_data|c8,gapin_data|c9,park_data|CD4+T,park_data|CD8+T,park_data|CD8αα(I),park_data|CD8αα(II),park_data|DN(P),park_data|DN(Q),park_data|DN(early),park_data|DP(P),park_data|DP(Q),park_data|NKT,park_data|T(agonist),park_data|Th17,park_data|Treg,park_data|Treg(diff),park_data|αβT(entry),park_data|γδT
gapin_data|c0,0.9935831394524526,0.8592038037957075,0.21441380406563218,0.1938493829847694,0.09896736895774144,0.0881576806241696,0.0756030803785197,0.12160973935776336,0.08038669746877793,0.1466295461635994,0.5250128800688696,0.30045725210077207,0.17598755000944027,0.41006185702525816,0.4091903130956717,0.18834741905898222,0.18283521983837844,0.2643964294993824,0.09854299853393701,0.11636003988764257,0.42460799442128994,0.18633505022485977,0.8782460422447603,0.9815356351054956,0.8035089158529358,0.7644825126503128,0.8108153877645533,0.11086411423110953,0.15251344772678177,0.11078118784035454,0.09937643177960867,0.10063121907680976,0.22162307852370977,0.7211304563248968
gapin_data|c1,0.8592038037957075,0.9607166499152611,0.2182713563007802,0.15644702224659707,0.10773524073027926,0.09105155777750264,0.12474018504406176,0.14590960656485796,0.11856187416783101,0.17523636357581562,0.35641424915086894,0.27136721559163135,0.2182621796964324,0.4442806676990548,0.37107432490606185,0.19447582850598658,0.15373418805544795,0.20440785663101646,0.21674468743894323,0.18655409091577227,0.6330660168726541,0.251346910127916,0.9270931848567798,0.7425655509189161,0.8778570430042847,0.9496816638719054,0.6182658848481242,0.32205766200446284,0.3646240562371299,0.29237716032344874,0.2623297291669189,0.1747358567630577,0.2264054159151625,0.8256590763903959
gapin_data|c10,0.21441380406563218,0.2182713563007802,0.6585649997409803,0.6371347572559642,0.6164154079238812,0.7257962777519484,0.6825870183328997,0.6789323561438647,0.5977506589054458,0.6569613431638246,0.36519048020679945,0.4589649695583472,0.48727022023322164,0.28772720498709975,0.42749058661649897,0.5520336618372392,0.6307467516052766,0.6362586156741188,0.7927162487808107,0.8697788198512038,0.5067821713761604,0.6803870884805128,0.3258169173498805,0.40785889393531116,0.36834527738727024,0.3056957414331323,0.41482866327813134,0.6622477282248118,0.6440662404542725,0.686477363181804,0.6044394502093509,0.7449751024227494,0.5716561906423638,0.45940736063751875
gapin_data|c11,0.1938493829847694,0.15644702224659707,0.6371347572559642,0.7665776528429223,0.7385623762670309,0.7470131658248165,0.6779558645028962,0.6654055783574847,0.684756580193782,0.5774277375160288,0.4193500405383133,0.6125748264573769,0.5817482523944155,0.24119762980193363,0.4499912588265494,0.6442606032451923,0.7098561448244376,0.651941403602495,0.8531464708742182,0.7956385101356884,0.3983046481574592,0.5977267733049625,0.2359955189521641,0.3265563164596002,0.2861421904895134,0.20894226702804738,0.3766321251416914,0.5962053303530946,0.627389003574113,0.7122722354525091,0.6487242910536,0.7789294594295542,0.5830124672208676,0.3910471013031042
gapin_data|c12,0.09896736895774144,0.10773524073027926,0.6164154079238812,0.7385623762670309,0.9292397804233309,0.9455766975857913,0.9477376496995666,0.916494493799763,0.9274627141677818,0.9204777146164749,0.24231353346163143,0.40101448141121154,0.4350249481404025,0.17069416133509185,0.6020345178774241,0.6250848708440566,0.749473496558292,0.4207128256201791,0.906550899985048,0.841568019792086,0.4267721605344628,0.8416573309190947,0.27266132053008024,0.3327058498813508,0.39684639400833177,0.18581799314519137,0.35183294154357814,0.8958294103451194,0.6345247759842855,0.9488056156747999,0.9114117455350217,0.8988537784383961,0.5105016478402196,0.5225797079568433
gapin_data|c13,0.0881576806241696,0.09105155777750264,0.7257962777519484,0.7470131658248165,0.9455766975857913,0.9787169080516143,0.9795370757183989,0.9696004029757013,0.9589405418179938,0.9665303796364749,0.2631210397067857,0.3699458817288903,0.4623346134440097,0.2398547023671179,0.6830026516558222,0.650723429732744,0.7865316902259654,0.48819091525334907,0.8581630218613858,0.8590713722467607,0.4257173213725823,0.8654651466521712,0.2017705721733638,0.2686263556786528,0.32202649729046695,0.1375200447544332,0.3218098660237651,0.9451729995944604,0.5658651477307537,0.9404009148149589,0.9027577995145,0.8779443365715667,0.4606194194315606,0.44922639402637
gapin_data|c14,0.0756030803785197,0.12474018504406176,0.6825870183328997,0.6779558645028962,0.9477376496995666,0.9795370757183989,0.9835376907856274,0.9727392178983103,0.9653655893381219,0.9731493756173177,0.19468870024948348,0.3039050866215026,0.4101191434790795,0.24774466880420218,0.7249714787909345,0.6395804471870343,0.7627900017098507,0.3819574890930447,0.8894494576936163,0.871596959663498,0.4839677305113653,0.8887214710473404,0.26163976242944165,0.2941231002923941,0.4126195515975853,0.1768497209798991,0.30581085578746203,0.9670671649393479,0.6403346799293708,0.9712714640158668,0.9388113120506477,0.9035317352370245,0.43915910090339294,0.542146623716697
gapin_data|c15,0.12160973935776336,0.14590960656485796,0.6789323561438647,0.6654055783574847,0.916494493799763,0.9696004029757013,0.9727392178983103,0.9770230630533652,0.9644024921259885,0.978315113816042,0.23877445376564232,0.3072413482647117,0.4301274022005106,0.3359468762489665,0.783142520636653,0.67900986859792,0.7448886627031613,0.4363996224937832,0.8064936416399696,0.8118352806848215,0.5169099715670136,0.9009843129300763,0.2566456367705438,0.29810222631491,0.380449722931577,0.1850794272389428,0.3128118781286815,0.9621421267634569,0.6026212082562531,0.9288731341661509,0.9269545657388868,0.8877177765717919,0.3982159242372042,0.5325209110417052
gapin_data|c16,0.08038669746877793,0.11856187416783101,0.5977506589054458,0.684756580193782,0.9274627141677818,0.9589405418179938,0.9653655893381219,0.9644024921259885,0.9763723606976407,0.9628425623637311,0.21860854169631716,0.37139079574178624,0.4445398134203572,0.2844027577996153,0.6828743896597871,0.7249161970328912,0.7648077073616293,0.38444142430855077,0.8583666476121866,0.7810378559199844,0.5377203072741141,0.8485632114099619,0.2395281898262518,0.26909650539611885,0.3413159929036049,0.19178788166657434,0.3310344160127704,0.9273935750294258,0.6662542682967274,0.9359641024574894,0.9729671534984358,0.9294013002605446,0.45871687363393676,0.4998559601521208
gapin_data|c17,0.1466295461635994,0.17523636357581562,0.6569613431638246,0.5774277375160288,0.9204777146164749,0.9665303796364749,0.9731493756173177,0.978315113816042,0.9628425623637311,0.9868002178240802,0.18774165203936044,0.26874333997321564,0.39753944655204554,0.4052472187133037,0.8433949050499047,0.6757595651365935,0.7120927837063455,0.3767013741398205,0.777843439679478,0.7930022074236789,0.5867572031639006,0.9345580318916774,0.31115583050940787,0.32606371198447603,0.4948307416999491,0.20408982820279742,0.2841162384337875,0.9744373747543398,0.629390125419383,0.9510869764965962,0.9413948464273345,0.8885169023225739,0.3697305503897905,0.6177609117222855
gapin_data|c2,0.5250128800688696,0.35641424915086894,0.36519048020679945,0.4193500405383133,0.24231353346163143,0.2631210397067857,0.19468870024948348,0.23877445376564232,0.21860854169631716,0.18774165203936044,0.9562575983579968,0.6812558122248451,0.5374176636749537,0.7175439202071585,0.43285090663216197,0.34289218413159384,0.33390515424158973,0.6991764073327986,0.25682113821354835,0.32816183417445377,0.641990073435644,0.40127069328941245,0.23631488974677595,0.4940511864445859,0.1902920294631293,0.49438387192251637,0.9086018608281317,0.11587041981298293,0.29133378622293876,0.14402214414666342,0.15291991093207258,0.26373717605914276,0.7845924988002708,0.3736706621866168
