"","gene","padj","degPatterns_group"
"1","AKR1C3",0.0210505186189978,1
"2","AOAH",0.000725981857806837,2
"3","CD160",1.88217317105295e-08,3
"4","CD2",7.92760272164848e-06,NA
"5","CD4",1.13201645545776e-51,1
"6","CD40LG",3.45945354095041e-07,1
"7","CD7",0.000158904604517492,2
"8","CD8A",3.64025867466733e-28,5
"9","CD8B",2.71292987140464e-21,5
"10","CD8B2",0.0292920693950817,5
"11","CFH",0.000352210582111832,NA
"12","CHRM3.AS2",0.0097265915092661,NA
"13","CMC1",0.000665303476383081,5
"14","CRTAM",1.03062230296511e-08,3
"15","CTSW",1.88837731153751e-07,3
"16","CXXC5",0.0286100925523797,2
"17","DBN1",0.000386246082735596,2
"18","DUSP1",0.0447624279980615,NA
"19","FCGR3A",0.00389117626189288,3
"20","FOSB",0.0447624279980615,NA
"21","GABARAPL1",1.52928127469543e-05,5
"22","GPR183",0.0447624279980615,1
"23","HOXC4",0.00957925939942063,3
"24","IKZF2",1.09614610248115e-07,3
"25","ITGB1",0.00860077749338896,NA
"26","ITM2A",0.000319049819037462,1
"27","ITM2C",0.0414311997760191,1
"28","KLRB1",0.00860077749338896,NA
"29","KLRC1",8.06131872118704e-07,2
"30","KLRC2",0.00222184449879895,3
"31","KLRD1",2.477472736546e-58,2
"32","MAF",0.0221299213634962,NA
"33","METTL7A",0.0490611506359099,3
"34","NCR1",0.00875472625124958,3
"35","NCR3",0.00075869650194228,2
"36","PECAM1",0.000367824174842545,5
"37","PIK3AP1",2.52180513187697e-08,2
"38","PTMS",2.21822434419079e-08,2
"39","RTKN2",0.000259589352929207,2
"40","SLC4A10",5.60862069733478e-12,NA
"41","SPART",0.0447624279980615,1
"42","TFCP2L1",0.0439362303361096,2
"43","TRAC",2.55244981460222e-15,1
"44","TRBC2",9.42979237772258e-05,1
"45","TRDC",0.000100481355993989,3
"46","TYROBP",9.45942127205614e-07,2
"47","UTS2",0.0403076079146766,NA
"48","XCL2",0.0432725816870524,2
"49","YBX3",0.000119325562644639,5
"50","ZBTB16",0.00879693388924826,2
"51","ZFP36",0.00200732358144091,5
"52","ZNF683",2.35866661334327e-05,2
