"ms_ensemblID","ms_ensemblID_version","ms_symbol","hu_ensemblID","hu_symbol","hu_ensemblID_version","date"
"ENSMUSG00000064341","ENSMUSG00000064341.1","mt-Nd1","ENSG00000198888","MT-ND1","ENSG00000198888.2",2024-08-25
"ENSMUSG00000064345","ENSMUSG00000064345.1","mt-Nd2","ENSG00000198763","MT-ND2","ENSG00000198763.3",2024-08-25
"ENSMUSG00000064351","ENSMUSG00000064351.1","mt-Co1","ENSG00000198804","MT-CO1","ENSG00000198804.2",2024-08-25
"ENSMUSG00000064354","ENSMUSG00000064354.1","mt-Co2","ENSG00000198712","MT-CO2","ENSG00000198712.1",2024-08-25
"ENSMUSG00000064356","ENSMUSG00000064356.1","mt-Atp8","ENSG00000228253","MT-ATP8","ENSG00000228253.1",2024-08-25
"ENSMUSG00000064357","ENSMUSG00000064357.1","mt-Atp6","ENSG00000198899","MT-ATP6","ENSG00000198899.2",2024-08-25
"ENSMUSG00000064358","ENSMUSG00000064358.1","mt-Co3","ENSG00000198938","MT-CO3","ENSG00000198938.2",2024-08-25
"ENSMUSG00000064360","ENSMUSG00000064360.1","mt-Nd3","ENSG00000198840","MT-ND3","ENSG00000198840.2",2024-08-25
"ENSMUSG00000065947","ENSMUSG00000065947.1","mt-Nd4l","ENSG00000212907","MT-ND4L","ENSG00000212907.2",2024-08-25
"ENSMUSG00000064363","ENSMUSG00000064363.1","mt-Nd4","ENSG00000198886","MT-ND4","ENSG00000198886.2",2024-08-25
"ENSMUSG00000064367","ENSMUSG00000064367.1","mt-Nd5","ENSG00000198786","MT-ND5","ENSG00000198786.2",2024-08-25
"ENSMUSG00000064368","ENSMUSG00000064368.1","mt-Nd6","ENSG00000198695","MT-ND6","ENSG00000198695.2",2024-08-25
"ENSMUSG00000064370","ENSMUSG00000064370.1","mt-Cytb","ENSG00000198727","MT-CYB","ENSG00000198727.2",2024-08-25
"ENSMUSG00000056673","ENSMUSG00000056673.15","Kdm5d","ENSG00000012817","KDM5D","ENSG00000012817.16",2024-08-25
"ENSMUSG00000069049","ENSMUSG00000069049.12","Eif2s3y","ENSG00000180574","EIF2S3B","ENSG00000180574.4",2024-08-25
"ENSMUSG00000068457","ENSMUSG00000068457.15","Uty","ENSG00000183878","UTY","ENSG00000183878.16",2024-08-25
"ENSMUSG00000069045","ENSMUSG00000069045.12","Ddx3y","ENSG00000067048","DDX3Y","ENSG00000067048.17",2024-08-25
"ENSMUSG00000069044","ENSMUSG00000069044.7","Usp9y","ENSG00000114374","USP9Y","ENSG00000114374.13",2024-08-25
"ENSMUSG00000069036","ENSMUSG00000069036.4","Sry","ENSG00000184895","SRY","ENSG00000184895.8",2024-08-25
"ENSMUSG00000047161","ENSMUSG00000047161.13","Chst9","ENSG00000154080","CHST9","ENSG00000154080.14",2024-08-25
"ENSMUSG00002076444","ENSMUSG00002076444.1","Gm54353","ENSG00000252697","RN7SKP209","ENSG00000252697.1",2024-08-25
"ENSMUSG00000024304","ENSMUSG00000024304.15","Cdh2","ENSG00000170558","CDH2","ENSG00000170558.10",2024-08-25
"ENSMUSG00002076623","ENSMUSG00002076623.1","Gm54355","ENSG00000252087","RN7SKP248","ENSG00000252087.1",2024-08-25
"ENSMUSG00000048799","ENSMUSG00000048799.9","Cep120","ENSG00000168944","CEP120","ENSG00000168944.17",2024-08-25
"ENSMUSG00000073563","ENSMUSG00000073563.4","Csnk1g3","ENSG00000151292","CSNK1G3","ENSG00000151292.19",2024-08-25
"ENSMUSG00000059898","ENSMUSG00000059898.10","Dsc3","ENSG00000134762","DSC3","ENSG00000134762.17",2024-08-25
"ENSMUSG00000052713","ENSMUSG00000052713.10","Zfp608","ENSG00000168916","ZNF608","ENSG00000168916.16",2024-08-25
"ENSMUSG00000092702","ENSMUSG00000092702.5","Gm24514","ENSG00000241652","RN7SL253P","ENSG00000241652.3",2024-08-25
"ENSMUSG00000001700","ENSMUSG00000001700.11","Gramd2b","ENSG00000155324","GRAMD2B","ENSG00000155324.10",2024-08-25
"ENSMUSG00000024331","ENSMUSG00000024331.12","Dsc2","ENSG00000134755","DSC2","ENSG00000134755.18",2024-08-25
"ENSMUSG00000044322","ENSMUSG00000044322.8","Dsc1","ENSG00000134765","DSC1","ENSG00000134765.10",2024-08-25
"ENSMUSG00000053644","ENSMUSG00000053644.14","Aldh7a1","ENSG00000164904","ALDH7A1","ENSG00000164904.18",2024-08-25
"ENSMUSG00000001804","ENSMUSG00000001804.10","Dsg4","ENSG00000175065","DSG4","ENSG00000175065.12",2024-08-25
"ENSMUSG00000008301","ENSMUSG00000008301.12","Phax","ENSG00000164902","PHAX","ENSG00000164902.14",2024-08-25
"ENSMUSG00000032900","ENSMUSG00000032900.16","Tex43","ENSG00000196900","SPMIP10","ENSG00000196900.5",2024-08-25
"ENSMUSG00000024590","ENSMUSG00000024590.9","Lmnb1","ENSG00000113368","LMNB1","ENSG00000113368.12",2024-08-25
"ENSMUSG00000032656","ENSMUSG00000032656.15","Marchf3","ENSG00000173926","MARCHF3","ENSG00000173926.6",2024-08-25
"ENSMUSG00000056632","ENSMUSG00000056632.9","Dsg3","ENSG00000134757","DSG3","ENSG00000134757.5",2024-08-25
"ENSMUSG00000119538","ENSMUSG00000119538.1","Gm24142","ENSG00000201176","RNU6-853P","ENSG00000201176.1",2024-08-25
"ENSMUSG00000024592","ENSMUSG00000024592.16","C330018D20Rik","ENSG00000164241","C5orf63","ENSG00000164241.14",2024-08-25
"ENSMUSG00000084487","ENSMUSG00000084487.3","Gm23787","ENSG00000199593","SNORD114-14","ENSG00000199593.1",2024-08-25
"ENSMUSG00000088820","ENSMUSG00000088820.3","Gm25224","ENSG00000202048","SNORD114-20","ENSG00000202048.1",2024-08-25
"ENSMUSG00000106653","ENSMUSG00000106653.3","Mir299a","ENSG00000207749","MIR299","ENSG00000207749.4",2024-08-25
"ENSMUSG00000044393","ENSMUSG00000044393.16","Dsg2","ENSG00000046604","DSG2","ENSG00000046604.14",2024-08-25
"ENSMUSG00000020607","ENSMUSG00000020607.8","Lratd1","ENSG00000162981","LRATD1","ENSG00000162981.14",2024-08-25
"ENSMUSG00000065617","ENSMUSG00000065617.3","Mir323","ENSG00000199069","MIR323A","ENSG00000199069.3",2024-08-25
"ENSMUSG00000070141","ENSMUSG00000070141.4","Mir494","ENSG00000194717","MIR494","ENSG00000194717.4",2024-08-25
"ENSMUSG00000119624","ENSMUSG00000119624.1","Gm25414","ENSG00000199577","RNU6-822P","ENSG00000199577.1",2024-08-25
"ENSMUSG00000061808","ENSMUSG00000061808.5","Ttr","ENSG00000118271","TTR","ENSG00000118271.12",2024-08-25
"ENSMUSG00000098838","ENSMUSG00000098838.4","Mir381","ENSG00000199020","MIR381","ENSG00000199020.3",2024-08-25
"ENSMUSG00000056124","ENSMUSG00000056124.6","B4galt6","ENSG00000118276","B4GALT6","ENSG00000118276.12",2024-08-25
"ENSMUSG00000020601","ENSMUSG00000020601.9","Trib2","ENSG00000071575","TRIB2","ENSG00000071575.12",2024-08-25
"ENSMUSG00000024593","ENSMUSG00000024593.16","Megf10","ENSG00000145794","MEGF10","ENSG00000145794.17",2024-08-25
"ENSMUSG00000071235","ENSMUSG00000071235.13","Vrtn","ENSG00000133980","VRTN","ENSG00000133980.5",2024-08-25
"ENSMUSG00000033382","ENSMUSG00000033382.16","Trappc8","ENSG00000153339","TRAPPC8","ENSG00000153339.15",2024-08-25
"ENSMUSG00000065428","ENSMUSG00000065428.6","Mir382","ENSG00000283170","MIR382","ENSG00000283170.1",2024-08-25
"ENSMUSG00000065426","ENSMUSG00000065426.5","Mir134","ENSG00000207993","MIR134","ENSG00000207993.3",2024-08-25
"ENSMUSG00000099236","ENSMUSG00000099236.4","Mir668","ENSG00000276352","MIR668","ENSG00000276352.2",2024-08-25
"ENSMUSG00000065448","ENSMUSG00000065448.4","Mir154","ENSG00000207978","MIR154","ENSG00000207978.1",2024-08-25
"ENSMUSG00000070136","ENSMUSG00000070136.3","Mir496a","ENSG00000207961","MIR496","ENSG00000207961.3",2024-08-25
"ENSMUSG00000065438","ENSMUSG00000065438.4","Mir377","ENSG00000199015","MIR377","ENSG00000199015.4",2024-08-25
"ENSMUSG00000071234","ENSMUSG00000071234.4","Syndig1l","ENSG00000183379","SYNDIG1L","ENSG00000183379.9",2024-08-25
"ENSMUSG00000076052","ENSMUSG00000076052.3","Mir541","ENSG00000216179","MIR541","ENSG00000216179.1",2024-08-25
"ENSMUSG00000065570","ENSMUSG00000065570.3","Mir412","ENSG00000199012","MIR412","ENSG00000199012.2",2024-08-25
"ENSMUSG00000065497","ENSMUSG00000065497.3","Mir410","ENSG00000199092","MIR410","ENSG00000199092.4",2024-08-25
"ENSMUSG00000035142","ENSMUSG00000035142.19","Nubpl","ENSG00000151413","NUBPL","ENSG00000151413.17",2024-08-25
"ENSMUSG00000033107","ENSMUSG00000033107.7","Rnf125","ENSG00000101695","RNF125","ENSG00000101695.9",2024-08-25
"ENSMUSG00000021242","ENSMUSG00000021242.10","Npc2","ENSG00000119655","NPC2","ENSG00000119655.11",2024-08-25
"ENSMUSG00000024317","ENSMUSG00000024317.16","Rnf138","ENSG00000134758","RNF138","ENSG00000134758.14",2024-08-25
"ENSMUSG00000021241","ENSMUSG00000021241.8","Isca2","ENSG00000165898","ISCA2","ENSG00000165898.14",2024-08-25
